"st0","st1","st2","st3","st4","node.cid","tgt.n","tgt.sum","tgt.mean","all.node.cid","all.tgt.n","all.tgt.sum","all.tgt.mean","node.split.cond","node.rpart.id","node.rpart.rowno"
"","","","┌─────────────────────────────","-T04012 ( N= 246, P2= 70.33% ) month=aug,feb,jan,jul,jun,mar","T04012","246","173","0.703252032520325","T04012",246,173,0.703252032520325,"month=aug,feb,jan,jul,jun,mar",31,25
"","","┌─────────────────────────────","┤N03006 ( N= 499, P2= 63.53% ) marital=divorced,single","","","","","","N03006",499,317,0.635270541082164,"marital=divorced,single",15,23
"","","│","└─────────────────────────────","-T04011 ( N= 253, P2= 56.92% ) month=apr,may,nov","T04011","253","144","0.569169960474308","T04011",253,144,0.569169960474308,"month=apr,may,nov",30,24
"","┌─────────────────────────────","┤N02004 ( N= 1,115, P2= 58.12% ) duration>=827.5","","","","","","","N02004",1115,648,0.581165919282511,"duration>=827.5",7,19
"","│","│","┌─────────────────────────────","-T04010 ( N= 338, P2= 58.88% ) balance>=475.5","T04010","338","199","0.588757396449704","T04010",338,199,0.588757396449704,"balance>=475.5",29,22
"","│","└─────────────────────────────","┤N03005 ( N= 616, P2= 53.73% ) marital=married","","","","","","N03005",616,331,0.537337662337662,"marital=married",14,20
"","│","","└─────────────────────────────","-T04009 ( N= 278, P2= 47.48% ) balance<475.5","T04009","278","132","0.474820143884892","T04009",278,132,0.474820143884892,"balance<475.5",28,21
"┌─────────────────────────────","┤N01002 ( N= 2,275, P2= 46.55% ) duration>=605.5","","","","","","","","N01002",2275,1059,0.465494505494505,"duration>=605.5",3,11
"│","│","","┌─────────────────────────────","-T04008 ( N= 270, P2= 55.93% ) month=aug,mar,may","T04008","270","151","0.559259259259259","T04008",270,151,0.559259259259259,"month=aug,mar,may",27,18
"│","│","┌─────────────────────────────","┤N03004 ( N= 739, P2= 41.68% ) contact=cellular","","","","","","N03004",739,308,0.416779431664411,"contact=cellular",13,16
"│","│","│","└─────────────────────────────","-T04007 ( N= 469, P2= 33.48% ) month=apr,feb,jan,jul,nov","T04007","469","157","0.334754797441365","T04007",469,157,0.334754797441365,"month=apr,feb,jan,jul,nov",26,17
"│","└─────────────────────────────","┤N02003 ( N= 1,160, P2= 35.43% ) duration<827.5","","","","","","","N02003",1160,411,0.354310344827586,"duration<827.5",6,12
"│","","│","┌─────────────────────────────","-T04006 ( N= 157, P2= 34.39% ) marital=divorced,single","T04006","157","54","0.343949044585987","T04006",157,54,0.343949044585987,"marital=divorced,single",25,15
"│","","└─────────────────────────────","┤N03003 ( N= 421, P2= 24.47% ) contact=telephone,unknown","","","","","","N03003",421,103,0.244655581947743,"contact=telephone,unknown",12,13
"│","","","└─────────────────────────────","-T04005 ( N= 264, P2= 18.56% ) marital=married","T04005","264","49","0.185606060606061","T04005",264,49,0.185606060606061,"marital=married",24,14
"┤N00001 ( N= 27,826, P2= 7.03% ) root","","","","","","","","","N00001",27826,1955,0.0702580320563502,"root",1,1
"│","┌─────────────────────────────","-T02002 ( N= 230, P2= 47.39% ) month=mar,oct","","","T02002","230","109","0.473913043478261","T02002",230,109,0.473913043478261,"month=mar,oct",5,10
"└─────────────────────────────","┤N01001 ( N= 25,551, P2= 3.51% ) duration<605.5","","","","","","","","N01001",25551,896,0.0350671206606395,"duration<605.5",2,2
"","│","","┌─────────────────────────────","-T04004 ( N= 1,537, P2= 18.41% ) contact=cellular,telephone","T04004","1537","283","0.184124918672739","T04004",1537,283,0.184124918672739,"contact=cellular,telephone",19,9
"","│","┌─────────────────────────────","┤N03002 ( N= 2,278, P2= 15.19% ) duration>=411.5","","","","","","N03002",2278,346,0.15188762071993,"duration>=411.5",9,7
"","│","│","└─────────────────────────────","-T04003 ( N= 741, P2= 8.50% ) contact=unknown","T04003","741","63","0.0850202429149798","T04003",741,63,0.0850202429149798,"contact=unknown",18,8
"","└─────────────────────────────","┤N02001 ( N= 25,321, P2= 3.11% ) month=apr,aug,dec,feb,jan,jul,jun,may,nov","","","","","","","N02001",25321,787,0.031080920974685,"month=apr,aug,dec,feb,jan,jul,jun,may,nov",4,3
"","","│","┌─────────────────────────────","-T04002 ( N= 2,889, P2= 9.80% ) month=apr,dec,feb","T04002","2889","283","0.0979577708549671","T04002",2889,283,0.0979577708549671,"month=apr,dec,feb",17,6
"","","└─────────────────────────────","┤N03001 ( N= 23,043, P2= 1.91% ) duration<411.5","","","","","","N03001",23043,441,0.0191381330555917,"duration<411.5",8,4
"","","","└─────────────────────────────","-T04001 ( N= 20,154, P2= 0.78% ) month=aug,jan,jul,jun,may,nov","T04001","20154","158","0.007839634811948","T04001",20154,158,0.007839634811948,"month=aug,jan,jul,jun,may,nov",16,5
